id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation
B27,psychology,Which psychological disorder is characterized by periods of elevated mood and periods of depression?,Bipolar disorder,Major depressive disorder,Generalized anxiety disorder,Schizophrenia,A,"Bipolar disorder is characterized by cyclical mood episodes that include periods of abnormally elevated mood (mania or hypomania) and periods of depression. These mood swings are more severe than normal ups and downs and can significantly impact daily functioning."
B28,psychology,What is the term for a type of learning in which an association forms between a conditioned stimulus and an unconditioned stimulus?,Operant conditioning,Observational learning,Classical conditioning,Insight learning,C,"Classical conditioning is a type of learning where a neutral stimulus becomes associated with a naturally occurring stimulus to evoke a similar response. Pavlov's experiments with dogs salivating to a bell that had been paired with food is the classic example."
B29,psychology,Which theory of emotion suggests that physiological arousal and emotional experience occur simultaneously?,James-Lange theory,Cannon-Bard theory,Schachter-Singer theory,Facial feedback theory,B,"The Cannon-Bard theory proposes that physiological arousal and emotional experience occur simultaneously after an emotion-provoking stimulus. This contrasts with the James-Lange theory, which suggests that arousal precedes emotional experience."
B30,psychology,What psychological principle describes the tendency to judge stimuli relative to a baseline rather than in absolute terms?,Weber's law,Signal detection theory,Adaptation level theory,Just noticeable difference,C,"Adaptation level theory, developed by Harry Helson, proposes that judgments of stimuli are made relative to an internal norm or adaptation level, rather than in absolute terms. This norm is influenced by past experiences, context, and expectations."
B31,psychology,Which psychologist developed the concept of 'unconditional positive regard' in client-centered therapy?,Albert Ellis,Aaron Beck,Carl Rogers,Fritz Perls,C,"Carl Rogers developed the concept of 'unconditional positive regard' as a core component of his client-centered therapy. It refers to accepting and respecting clients without judgment regardless of their thoughts, feelings, or behaviors."
B32,psychology,What is the term for the process by which people explain causes of behavior and events?,Attribution theory,Social cognition,Cognitive dissonance,Self-perception theory,A,"Attribution theory concerns how people explain the causes of behavior and events. It examines whether people attribute outcomes to internal factors (personality, ability) or external factors (situation, luck), and how these attributions influence emotions and future behavior."
B33,psychology,Which stage of sleep is characterized by rapid eye movements and vivid dreaming?,Stage 1,Stage 2,Stage 3,REM sleep,D,"REM (Rapid Eye Movement) sleep is characterized by fast eye movements, increased brain activity, muscle paralysis, and vivid dreaming. It typically occurs in cycles throughout the night, with longer periods in the latter half of sleep."
B34,psychology,What is the term for the tendency to favor members of one's own group over those in other groups?,Ingroup bias,Outgroup homogeneity,Stereotype threat,Implicit bias,A,"Ingroup bias refers to the tendency to favor members of one's own group (the 'ingroup') over members of other groups (the 'outgroup'). This bias can manifest in preferential treatment, more positive evaluations, and greater allocation of resources to ingroup members."
B35,psychology,Which psychological perspective emphasizes observable behavior and the role of the environment in shaping it?,Psychodynamic,Behavioral,Cognitive,Humanistic,B,"The behavioral perspective emphasizes observable behavior and the role of the environment in shaping it, rather than internal mental processes. Key figures include John Watson, B.F. Skinner, and Ivan Pavlov, who focused on learning through association and reinforcement."
B36,psychology,What is the psychological principle that people tend to judge their abilities as better than average?,Optimism bias,Dunning-Kruger effect,Above-average effect,Overconfidence bias,C,"The above-average effect (or superiority illusion) is the tendency for individuals to rate themselves as better than average on positive traits and abilities. This self-serving bias occurs across various domains, from driving ability to intelligence."
B37,psychology,Which brain structure is sometimes called the 'emotional brain' due to its role in emotional processing?,Cerebellum,Corpus callosum,Limbic system,Occipital lobe,C,"The limbic system, a complex set of structures including the amygdala, hippocampus, hypothalamus, and others, is often called the 'emotional brain' because of its central role in emotional processing, memory formation, and motivation."
B38,psychology,What term describes the psychological phenomenon where people change their attitudes or behavior to match those of a group?,Conformity,Obedience,Compliance,Reactance,A,"Conformity is the tendency to adjust one's thoughts, feelings, or behaviors to align with group norms. Classic studies by Solomon Asch demonstrated how individuals might conform to obviously incorrect judgments when faced with group pressure."
B39,psychology,Which psychologist is known for the Stanford Prison Experiment?,Stanley Milgram,Philip Zimbardo,Solomon Asch,Albert Bandura,B,"Philip Zimbardo conducted the Stanford Prison Experiment in 1971, where participants were randomly assigned to be 'prisoners' or 'guards' in a simulated prison environment. The experiment demonstrated how social roles can powerfully influence behavior."
B40,psychology,What is the tendency to overestimate one's ability to have predicted an outcome after it has already occurred?,Hindsight bias,Confirmation bias,Self-serving bias,Availability heuristic,A,"Hindsight bias, also known as the 'knew-it-all-along effect,' is the tendency to believe that an event was predictable after it has already occurred, despite having little or no objective basis for predicting it beforehand."
B41,psychology,Which theory suggests that our emotional experience depends on how we cognitively label physiological arousal?,James-Lange theory,Cannon-Bard theory,Schachter-Singer theory,Lazarus theory,C,"The Schachter-Singer theory (or two-factor theory) proposes that emotion requires both physiological arousal and a cognitive label for that arousal. According to this theory, similar physical responses can be interpreted as different emotions based on contextual cues."
B42,psychology,What psychological term describes the feeling of being observed or judged when performing a task?,Social facilitation,Evaluation apprehension,Performance anxiety,Objective self-awareness,B,"Evaluation apprehension refers to the anxiety experienced when a person feels they are being watched or judged while performing a task. This concern about others' evaluations can influence behavior and sometimes impair performance, especially on complex tasks."
